seed_id,canonical_name_ko,canonical_name_en,institution_group_key,campus_name,slug,slug_status,institution_type,legal_category,province,city_district,address,grade_range_raw,offers_kindergarten,offers_elementary,offers_middle,offers_high,teaching_language_raw,teaching_language_normalized,official_website_url_raw,official_website_url_normalized,canonical_domain,registry_name,registry_external_id,registry_record_id_status,registry_record_url,registry_locator,operating_status,identity_verification_status,verified_at,url_http_status,url_last_checked_at,crawl_status,source_binding_status,publication_status,monitoring_priority,monitoring_cadence,notes
schoolinfo:a1cf72d2-76ab-4aac-a16c-0e9c9fd912b5,심석초등학교,,,,simseok-e,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,경기도,남양주시,경기도 남양주시 화도읍 마석로76번길 10,초등학교(1–6),False,True,False,False,,,https://simseok-e.goegn.kr/simseok-e/main.do,https://simseok-e.goegn.kr/simseok-e/main.do,simseok-e.goegn.kr,SCHOOLINFO,a1cf72d2-76ab-4aac-a16c-0e9c9fd912b5,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=a1cf72d2-76ab-4aac-a16c-0e9c9fd912b5,심석초등학교 | 경기도 남양주시 화도읍 마석로76번길 10,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo:e00428f1-d7a0-42ca-8729-354954c39bf7,소화초등학교,,,,sohwa-e,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,경기도,수원시 영통구,경기도 수원시 영통구 광교중앙로 30,초등학교(1–6),False,True,False,False,,,http://sohwa-e.goesw.kr,http://sohwa-e.goesw.kr,sohwa-e.goesw.kr,SCHOOLINFO,e00428f1-d7a0-42ca-8729-354954c39bf7,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=e00428f1-d7a0-42ca-8729-354954c39bf7,소화초등학교 | 경기도 수원시 영통구 광교중앙로 30,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo:324e6d3c-8101-4a06-bbca-457b7de5aab2,중앙기독초등학교,,,,suwoncca,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,경기도,수원시 영통구,경기도 수원시 영통구 월드컵로 70,초등학교(1–6),False,True,False,False,,,www.suwoncca.org,http://www.suwoncca.org,suwoncca.org,SCHOOLINFO,324e6d3c-8101-4a06-bbca-457b7de5aab2,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=324e6d3c-8101-4a06-bbca-457b7de5aab2,중앙기독초등학교 | 경기도 수원시 영통구 월드컵로 70,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo:552149de-4c96-4160-a462-52fd4e970818,영훈초등학교,,,,younghoon,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,강북구,서울특별시 강북구 도봉로13가길 19,초등학교(1–6),False,True,False,False,,,http://www.younghoon.es.kr,http://www.younghoon.es.kr,younghoon.es.kr,SCHOOLINFO,552149de-4c96-4160-a462-52fd4e970818,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=552149de-4c96-4160-a462-52fd4e970818,영훈초등학교 | 서울특별시 강북구 도봉로13가길 19,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo-pending:yooseok.sen.es.kr,유석초등학교,,,,yooseok,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,강서구,서울특별시 강서구 화곡로69길 9,초등학교(1–6),False,True,False,False,,,http://yooseok.sen.es.kr,http://yooseok.sen.es.kr,yooseok.sen.es.kr,SCHOOLINFO,,PENDING,https://www.schoolinfo.go.kr/,유석초등학교 | 서울특별시 강서구 화곡로69길 9,ACTIVE,VERIFIED_REGISTRY_LIST_RECORD_ID_PENDING,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,SchoolInfo deep-link UUID must be reconciled before production import.
schoolinfo:cbc4749a-ebaa-4e21-a164-ee341251c615,경복초등학교,,,,kbes,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,광진구,서울특별시 광진구 천호대로130길 58,초등학교(1–6),False,True,False,False,,,http://www.kbes.kr,http://www.kbes.kr,kbes.kr,SCHOOLINFO,cbc4749a-ebaa-4e21-a164-ee341251c615,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=cbc4749a-ebaa-4e21-a164-ee341251c615,경복초등학교 | 서울특별시 광진구 천호대로130길 58,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo:55059a42-eda3-41ca-a94c-4584afd984a3,성동초등학교,,,,sungdong,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,광진구,서울특별시 광진구 자양로4길 63,초등학교(1–6),False,True,False,False,,,http://sungdong.sen.es.kr,http://sungdong.sen.es.kr,sungdong.sen.es.kr,SCHOOLINFO,55059a42-eda3-41ca-a94c-4584afd984a3,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=55059a42-eda3-41ca-a94c-4584afd984a3,성동초등학교 | 서울특별시 광진구 자양로4길 63,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo:c5e26642-adec-46b4-9b98-924367f25492,세종초등학교,,,,sejong,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,광진구,서울특별시 광진구 군자로 114,초등학교(1–6),False,True,False,False,,,http://sejong.sen.es.kr,http://sejong.sen.es.kr,sejong.sen.es.kr,SCHOOLINFO,c5e26642-adec-46b4-9b98-924367f25492,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=c5e26642-adec-46b4-9b98-924367f25492,세종초등학교 | 서울특별시 광진구 군자로 114,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo:ba1b119d-b51a-41f3-8ad8-3c1571a27b9d,동광초등학교,,,,donggwang,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,금천구,서울특별시 금천구 탑골로10길 45,초등학교(1–6),False,True,False,False,,,http://donggwang.sen.es.kr,http://donggwang.sen.es.kr,donggwang.sen.es.kr,SCHOOLINFO,ba1b119d-b51a-41f3-8ad8-3c1571a27b9d,RESOLVED,https://www.schoolinfo.go.kr/ei/ss/Pneiss_b01_s0.do?SHL_IDF_CD=ba1b119d-b51a-41f3-8ad8-3c1571a27b9d,동광초등학교 | 서울특별시 금천구 탑골로10길 45,ACTIVE,VERIFIED_OFFICIAL_REGISTRY,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,
schoolinfo-pending:smcho.sen.es.kr,상명초등학교,,,,smcho,PROVISIONAL,PRIVATE_ELEMENTARY,PRIVATE_ELEMENTARY_SCHOOL,서울특별시,노원구,서울특별시 노원구 덕릉로 541,초등학교(1–6),False,True,False,False,,,https://smcho.sen.es.kr/,https://smcho.sen.es.kr,smcho.sen.es.kr,SCHOOLINFO,,PENDING,https://www.schoolinfo.go.kr/,상명초등학교 | 서울특별시 노원구 덕릉로 541,ACTIVE,VERIFIED_REGISTRY_LIST_RECORD_ID_PENDING,2026-08-27,NOT_CHECKED,,NOT_STARTED,SEEDED,INTERNAL_ONLY,P1,SEASONAL_WEEKLY,SchoolInfo deep-link UUID must be reconciled before production import.
